input,output
#ai#,#ai#
#baba#,#haha#
#babaw#,#haho#
#panaʔ#,#hana#
#piliʔ#,#hili#
#pitu#,#hiu#
#betak#,#hoa#
#beli#,#holi#
#peɲu#,#honu#
#buʔaja#,#huasa#
#punti#,#hudi#
#tiktik#,#iki#
#kilala#,#ilala#
#kak#,#kaa#
#kiaw#,#kiokio#
#dalem#,#lalo#
#lawaʔ#,#lawa#
#laŋaw#,#laŋo#
#lima#,#lime#
#mesmes#,#momo#
#manuk#,#mɐnu#
#ɲamɲam#,#nana#
#ni#,#ni#
#telu#,#olu#
#ʔenaj#,#one#
#enem#,#ono#
#paŋa#,#paŋa#
#peceʔ#,#pota#
#daŋdaŋ#,#rara#
#demdem#,#rodo#
#ʔadʒaw#,#sato#
#suksuk#,#susu#
#susu#,#susu#
#zalan#,#tala#
#sepsep#,#toto#
#ʔuaj#,#ue#
#tubah#,#uhe#
#ʔules#,#ulo#
#ʔudaŋ#,#ura#
#tuzuʔ#,#usu#
