input,output
#kedeŋ#,#ele#
#ʔazaj#,#ala#
#kamu#,#amu#
#hasaŋ#,#asa#
#kasaw#,#asa#
#asat#,#asat#
#hapuj#,#au#
#buŋa#,#buŋa#
#baŋun#,#hanu#
#hasaʔ#,#hasa#
#bataŋ#,#hata#
#bahu#,#hau#
#bakuŋ#,#haʔun#
#beʔbeʔ#,#heha#
#beli#,#heli#
#besiʔ#,#hesi#
#beta#,#heta#
#beteŋ#,#heten#
#betu#,#hetu#
#biʔak#,#hiak#
#biŋkuŋ#,#hiku#
#binehiʔ#,#hini#
#bitik#,#hiti#
#bintiŋ#,#hiti#
#buaʔ#,#hua#
#buʔaja#,#hua#
#buaʔ#,#hua#
#bukbuk#,#huhu#
#bukuh#,#huku#
#bulan#,#hulan#
#bulu#,#hulu#
#budu#,#hulu#
#bunuʔ#,#hunu#
#ina#,#ina#
#ʔis#,#is#
#hikan#,#iʔan#
#kalu#,#kalu#
#kapak#,#kapak#
#katik#,#katik#
#ɡiɡil#,#kiki#
#zalan#,#lalan#
#laledʒ#,#lale#
#laŋit#,#lanit#
#datu#,#latu#
#zauʔ#,#lau#
#dahun#,#lau#
#liaŋ#,#lian#
#limas#,#lima#
#linaw#,#lina#
#diŋdiŋ#,#liri#
#luaʔ#,#lua#
#duha#,#lua#
#dujuŋ#,#luin#
#lumut#,#lumut#
#lumpuk#,#lupuk#
#madʒa#,#mala#
#mamaʔ#,#mama#
#manuk#,#manu#
#mata#,#mata#
#miɲak#,#mina#
#na#,#na#
#naŋuj#,#nanu#
#nihawa#,#nawa#
#aniŋal#,#ninal#
#niŋal#,#niŋal#
#salaʔ#,#sala#
#saŋa#,#sana#
#sakaj#,#saʔa#
#sakaj#,#saʔa#
#saku#,#saʔu#
#siwa#,#siwa#
#sudʒa#,#sula#
#sukun#,#suʔun#
#taʔ#,#ta#
#taʔi#,#tai#
#tak#,#tak#
#taŋis#,#tani#
#taŋ#,#taŋ#
#tebuh#,#tehu#
#tiktik#,#titi#
#tuʔah#,#tua#
#tunu#,#tunu#
#tuŋ#,#tuŋ#
#kumbal#,#upal#
#puket#,#uʔet#
#ʔampelas#,#wela#
#ʔapelas#,#wela#
#peɲu#,#wenu#
